Lambda,LambdaNM,timeSteps,maxRMS,norm rms,maxValue,val max,0.06592541,1.11479
2,480,1500,0.04666393,0.707829197,0.5585346,0.501022255,,
2.25,540,1500,0.06184922,0.938169668,0.9811961,0.880162273,,
2.5,600,1500,0.06592541,1,1.11479,1,,
2.75,660,1500,0.06263376,0.950070087,1.006246,0.902632783,,
3,720,1500,0.0603194,0.914964351,0.9332573,0.837159734,,
3.25,780,1500,0.06179509,0.937348588,0.9794793,0.878622252,,
3.5,840,1500,0.05407954,0.820314049,0.750159,0.672915078,,
3.75,900,1500,0.04824502,0.73181221,0.5970247,0.535549027,,
4,960,1500,0.04123574,0.625490839,0.4361491,0.391238798,,
4.25,1020,1500,0.0482378,0.731702692,0.596846,0.535388728,,
4.5,1080,1500,0.05173328,0.784724433,0.6864792,0.615792391,,
4.75,1140,1500,0.05098727,0.773408463,0.6668237,0.59816082,,
5,1200,1500,0.04666393,0.707829197,0.5585346,0.501022255,,
5.25,1260,1500,0.03189314,0.483776134,0.2609047,0.234039326,,
5.5,1320,1500,0.03454769,0.524042095,0.3061438,0.274620153,,
5.75,1380,1500,0.04458888,0.676353473,0.509965,0.45745387,,
6,1440,1500,0.04525705,0.686488715,0.5253635,0.471266786,,
6.25,1500,1500,0.04951219,0.751033479,0.6287988,0.564051346,,
6.5,1560,1500,0.05386587,0.817072962,0.744243,0.667608249,,
6.75,1620,1500,0.05877685,0.891565938,0.8861352,0.7948898,,
7,1680,1500,0.05670599,0.860153771,0.8247936,0.739864548,,
7.25,1740,1500,0.04853993,0.736285599,0.6043461,0.542116542,,
7.5,1800,1500,0.04151043,0.629657517,0.4419792,0.396468573,,
7.75,1860,1500,0.03765704,0.571206762,0.3637305,0.326277146,,
8,1920,1500,0.03716004,0.563667939,0.3541927,0.317721454,,
8.25,1980,1500,0.0377624,0.572804932,0.3657687,0.328105473,,
8.5,2040,1500,0.03998039,0.606448864,0.4099976,0.36778012,,
8.75,2100,1500,0.0439016,0.665928358,0.4943654,0.443460562,,
9,2160,1500,0.04973724,0.754447185,0.634528,0.56919061,,
9.25,2220,1500,0.05314431,0.806127865,0.7244373,0.649841943,,
9.5,2280,1500,0.05522186,0.83764151,0.7821847,0.70164309,,
9.75,2340,1500,0.05753352,0.87270629,0.8490421,0.761616179,,
10,2400,1500,0.0583845,0.885614515,0.8743445,0.784313189,,
10.25,2460,1500,0.05771907,0.875520835,0.8545276,0.766536837,,
10.5,2520,1500,0.05573559,0.845434105,0.796806,0.714758834,,
10.75,2580,1500,0.05245361,0.795650873,0.7057294,0.633060397,,
11,2640,1500,0.0482287,0.731564658,0.5966208,0.535186717,,
11.25,2700,1500,0.04428856,0.671798021,0.5031189,0.451312714,,
11.5,2760,1500,0.04049152,0.61420202,0.4205479,0.377244055,,
11.75,2820,1500,0.03661178,0.555351571,0.3438183,0.308415307,,
12,2880,1500,0.03294149,0.499678197,0.2783388,0.249678235,,